MAIN_ACT,net,year
 manufacture of ceramic,3418282,2021
 production of pulp or other fibrous materials ,-1363620,2021
Aviation,2453478,2021
Capture of greenhouse gases ,0,2021
Combustion installations ,22568955,2021
Combustion of fuels,654618583,2021
manufacture of glass,1798947,2021
Manufacture of mineral wool,327929,2021
Metal ore roasting or sintering,-1048551,2021
Other activity,117253,2021
Prodcution of aluminium,898256,2021
Production of adipic acid,-647876,2021
Production of ammonia,1361169,2021
Production of bulk chemicals,-2018282,2021
Production of carbon black,387941,2021
production of cement clinker ,479171,2021
Production of coke,776036,2021
Production of glyoxal and glyoxylic acid,0,2021
Production of gypsum or plasterboard,631566,2021
Production of hydrogen and synthesis gas,1429352,2021
Production of metals,435825,2021
Production of nitric acid,-1886852,2021
production of pig iron or steel ,-21977844,2021
Production of quicklime,6366186,2021
Production of sodium carbonates,-1913098,2021
Refining of mineral oil,24038995,2021
 manufacture of ceramic,2101394,2020
 production of pulp or other fibrous materials ,-404213,2020
Aviation,-6678855,2020
Capture of greenhouse gases ,2225,2020
Combustion installations ,39488023,2020
Combustion of fuels,662939148,2020
manufacture of glass,4161258,2020
Manufacture of mineral wool,684632,2020
Metal ore roasting or sintering,452661,2020
Other activity,39293,2020
Prodcution of aluminium,1827422,2020
Production of adipic acid,-840341,2020
Production of ammonia,4813732,2020
Production of bulk chemicals,-2344673,2020
Production of carbon black,224482,2020
production of cement clinker ,-1131265,2020
Production of coke,673927,2020
Production of glyoxal and glyoxylic acid,4408,2020
Production of gypsum or plasterboard,204197,2020
Production of hydrogen and synthesis gas,1393039,2020
Production of metals,241040,2020
Production of nitric acid,-371151,2020
production of pig iron or steel ,-27960082,2020
Production of quicklime,1828529,2020
Production of sodium carbonates,-531530,2020
Refining of mineral oil,29894238,2020
 manufacture of ceramic,2728819,2019
 production of pulp or other fibrous materials ,195279,2019
Aviation,36976051,2019
Capture of greenhouse gases ,5890,2019
Combustion installations ,47329301,2019
Combustion of fuels,779560191,2019
manufacture of glass,4653043,2019
Manufacture of mineral wool,662814,2019
Metal ore roasting or sintering,887905,2019
Other activity,148372,2019
Prodcution of aluminium,1848011,2019
Production of adipic acid,-857352,2019
Production of ammonia,4155356,2019
Production of bulk chemicals,-2951971,2019
Production of carbon black,368133,2019
production of cement clinker ,2732403,2019
Production of coke,618219,2019
Production of glyoxal and glyoxylic acid,2532,2019
Production of gypsum or plasterboard,220825,2019
Production of hydrogen and synthesis gas,1718726,2019
Production of metals,2599915,2019
Production of nitric acid,-575675,2019
production of pig iron or steel ,-24338003,2019
Production of quicklime,3736571,2019
Production of sodium carbonates,75747,2019
Refining of mineral oil,37944160,2019
 manufacture of ceramic,2548914,2018
 production of pulp or other fibrous materials ,-233264,2018
Aviation,36224635,2018
Capture of greenhouse gases ,6074,2018
Combustion installations ,46869896,2018
Combustion of fuels,912398212,2018
manufacture of glass,4359137,2018
Manufacture of mineral wool,715416,2018
Metal ore roasting or sintering,940713,2018
Other activity,255642,2018
Prodcution of aluminium,2052203,2018
Production of adipic acid,-879602,2018
Production of ammonia,4003752,2018
Production of bulk chemicals,-1720481,2018
Production of carbon black,354830,2018
production of cement clinker ,2441969,2018
Production of coke,1416149,2018
Production of glyoxal and glyoxylic acid,3111,2018
Production of gypsum or plasterboard,150865,2018
Production of hydrogen and synthesis gas,728432,2018
Production of metals,3147652,2018
Production of nitric acid,-398926,2018
production of pig iron or steel ,-23033173,2018
Production of quicklime,4849863,2018
Production of sodium carbonates,-1269540,2018
Refining of mineral oil,36147970,2018
 manufacture of ceramic,1953060,2017
 production of pulp or other fibrous materials ,-853093,2017
Aviation,32604754,2017
Capture of greenhouse gases ,7461,2017
Combustion installations ,47037348,2017
Combustion of fuels,966509372,2017
manufacture of glass,3895789,2017
Manufacture of mineral wool,598807,2017
Metal ore roasting or sintering,894232,2017
Other activity,175579,2017
Prodcution of aluminium,1786327,2017
Production of adipic acid,-879236,2017
Production of ammonia,4922293,2017
Production of bulk chemicals,-2479431,2017
Production of carbon black,267034,2017
production of cement clinker ,-2641861,2017
Production of coke,1130205,2017
Production of glyoxal and glyoxylic acid,2065,2017
Production of gypsum or plasterboard,104493,2017
Production of hydrogen and synthesis gas,772304,2017
Production of metals,2908527,2017
Production of nitric acid,-59151,2017
production of pig iron or steel ,-26856432,2017
Production of quicklime,4521372,2017
Production of sodium carbonates,-1306256,2017
Refining of mineral oil,36319253,2017
 manufacture of ceramic,1021953,2016
 production of pulp or other fibrous materials ,-2565627,2016
Aviation,29643149,2016
Capture of greenhouse gases ,8646,2016
Combustion installations ,46984849,2016
Combustion of fuels,957731803,2016
manufacture of glass,3609259,2016
Manufacture of mineral wool,374938,2016
Metal ore roasting or sintering,723568,2016
Other activity,125424,2016
Prodcution of aluminium,1614798,2016
Production of adipic acid,-904225,2016
Production of ammonia,3555532,2016
Production of bulk chemicals,-3654490,2016
Production of carbon black,263922,2016
production of cement clinker ,-9467082,2016
Production of coke,881281,2016
Production of glyoxal and glyoxylic acid,3085,2016
Production of gypsum or plasterboard,77811,2016
Production of hydrogen and synthesis gas,268797,2016
Production of metals,1388321,2016
Production of nitric acid,-230110,2016
production of pig iron or steel ,-32826063,2016
Production of quicklime,2294812,2016
Production of sodium carbonates,-1452245,2016
Refining of mineral oil,35746409,2016
 manufacture of ceramic,211198,2015
 production of pulp or other fibrous materials ,-3618725,2015
Aviation,25112616,2015
Capture of greenhouse gases ,6420,2015
Combustion installations ,36609133,2015
Combustion of fuels,996603411,2015
manufacture of glass,2964206,2015
Manufacture of mineral wool,273900,2015
Metal ore roasting or sintering,873792,2015
Other activity,16630,2015
Prodcution of aluminium,1236597,2015
Production of adipic acid,-914228,2015
Production of ammonia,3967254,2015
Production of bulk chemicals,-3953851,2015
Production of carbon black,144625,2015
production of cement clinker ,-9871078,2015
Production of coke,964962,2015
Production of glyoxal and glyoxylic acid,892,2015
Production of gypsum or plasterboard,-34619,2015
Production of hydrogen and synthesis gas,382329,2015
Production of metals,308525,2015
Production of nitric acid,-174643,2015
production of pig iron or steel ,-31298192,2015
Production of quicklime,2259883,2015
Production of sodium carbonates,-1572292,2015
Refining of mineral oil,33649521,2015
 manufacture of ceramic,-458456,2014
 production of pulp or other fibrous materials ,-5074848,2014
Aviation,22583526,2014
Capture of greenhouse gases ,6058,2014
Combustion installations ,37452076,2014
Combustion of fuels,985115294,2014
manufacture of glass,2411963,2014
Manufacture of mineral wool,235829,2014
Metal ore roasting or sintering,852802,2014
Other activity,823005,2014
Prodcution of aluminium,766366,2014
