MAIN_ACT,amount,YEAR
root,,
2021,,root
2020,,root
2019,,root
2018,,root
2017,,root
2016,,root
2015,,root
2014,,root
2013,,root
2012,,root
2011,,root
2010,,root
2009,,root
2008,,root
manufacture of ceramic,8002705,2021
production of pulp or other fibrous materials ,22087850,2021
Aviation,20321822,2021
Capture of greenhouse gases ,0,2021
Combustion installations ,2889709,2021
Combustion of fuels,86504034,2021
manufacture of glass,10767117,2021
Manufacture of mineral wool,1055349,2021
Metal ore roasting or sintering,940405,2021
Mineral oil refineries,6215749,2021
Other activity,1353515,2021
Prodcution of aluminium,8064913,2021
Production of adipic acid,765469,2021
Production of ammonia,12127791,2021
Production of bulk chemicals,25412305,2021
Production of carbon black,1125129,2021
production of cement clinker ,77900174,2021
Production of coke,2842253,2021
Production of glyoxal and glyoxylic acid,0,2021
Production of gypsum or plasterboard,252476,2021
Production of hydrogen and synthesis gas,5465601,2021
Production of metals,12792762,2021
Production of nitric acid,3235428,2021
production of pig iron or steel ,98087951,2021
Production of quicklime,17276942,2021
Production of sodium carbonates,3498751,2021
Refining of mineral oil,68200104,2021
#N/A,74014507,2021
manufacture of ceramic,10389653,2020
production of pulp or other fibrous materials ,24012789,2020
Aviation,25622101,2020
Capture of greenhouse gases ,3353,2020
Combustion installations ,8104335,2020
Combustion of fuels,118718099,2020
manufacture of glass,12102655,2020
Manufacture of mineral wool,1170481,2020
Metal ore roasting or sintering,742100,2020
Mineral oil refineries,6075714,2020
Other activity,1598572,2020
Prodcution of aluminium,7561723,2020
Production of adipic acid,951286,2020
Production of ammonia,12808962,2020
Production of bulk chemicals,32344426,2020
Production of carbon black,1216913,2020
production of cement clinker ,97777316,2020
Production of coke,8245672,2020
Production of glyoxal and glyoxylic acid,7410,2020
Production of gypsum or plasterboard,873281,2020
Production of hydrogen and synthesis gas,7027212,2020
Production of metals,14592488,2020
Production of nitric acid,3805727,2020
production of pig iron or steel ,111325023,2020
Production of quicklime,21767641,2020
Production of sodium carbonates,3800365,2020
Refining of mineral oil,73326082,2020
#N/A,63831079,2020
manufacture of ceramic,10900157,2019
production of pulp or other fibrous materials ,24833191,2019
Aviation,25265433,2019
Capture of greenhouse gases ,4233,2019
Combustion installations ,8841995,2019
Combustion of fuels,127041378,2019
manufacture of glass,12430161,2019
Manufacture of mineral wool,1200553,2019
Metal ore roasting or sintering,759153,2019
Mineral oil refineries,6204798,2019
Other activity,1598087,2019
Prodcution of aluminium,7910310,2019
Production of adipic acid,971315,2019
Production of ammonia,13079884,2019
Production of bulk chemicals,33092226,2019
Production of carbon black,1247088,2019
production of cement clinker ,100067318,2019
Production of coke,8752752,2019
Production of glyoxal and glyoxylic acid,7567,2019
Production of gypsum or plasterboard,898200,2019
Production of hydrogen and synthesis gas,7173056,2019
Production of metals,15075891,2019
Production of nitric acid,4048604,2019
production of pig iron or steel ,118614886,2019
Production of quicklime,22527586,2019
Production of sodium carbonates,3829521,2019
Refining of mineral oil,74845967,2019
#N/A,66866210,2019
manufacture of ceramic,11193466,2018
production of pulp or other fibrous materials ,25570935,2018
Aviation,28285686,2018
Capture of greenhouse gases ,5146,2018
Combustion installations ,9424450,2018
Combustion of fuels,135827938,2018
manufacture of glass,12718455,2018
Manufacture of mineral wool,1252882,2018
Metal ore roasting or sintering,776212,2018
Mineral oil refineries,6333489,2018
Other activity,1603998,2018
Prodcution of aluminium,8073564,2018
Production of adipic acid,991275,2018
Production of ammonia,13062760,2018
Production of bulk chemicals,33848296,2018
Production of carbon black,1333727,2018
production of cement clinker ,100551576,2018
Production of coke,8933705,2018
Production of glyoxal and glyoxylic acid,7722,2018
Production of gypsum or plasterboard,918314,2018
Production of hydrogen and synthesis gas,7327134,2018
Production of metals,15525133,2018
Production of nitric acid,4128486,2018
production of pig iron or steel ,118693655,2018
Production of quicklime,22998338,2018
Production of sodium carbonates,3938662,2018
Refining of mineral oil,77922059,2018
#N/A,67323430,2018
manufacture of ceramic,11412196,2017
production of pulp or other fibrous materials ,26359115,2017
Aviation,28828364,2017
Capture of greenhouse gases ,6089,2017
Combustion installations ,10296544,2017
Combustion of fuels,144897865,2017
manufacture of glass,13134800,2017
Manufacture of mineral wool,1254956,2017
Metal ore roasting or sintering,793133,2017
Mineral oil refineries,6460655,2017
Other activity,1646626,2017
Prodcution of aluminium,8234832,2017
Production of adipic acid,1010988,2017
Production of ammonia,13651797,2017
Production of bulk chemicals,34446543,2017
Production of carbon black,1376678,2017
production of cement clinker ,103332240,2017
Production of coke,9112483,2017
Production of glyoxal and glyoxylic acid,7875,2017
Production of gypsum or plasterboard,938266,2017
Production of hydrogen and synthesis gas,7509955,2017
Production of metals,15771980,2017
Production of nitric acid,4265905,2017
production of pig iron or steel ,125052451,2017
Production of quicklime,23086880,2017
Production of sodium carbonates,4017438,2017
Refining of mineral oil,79383693,2017
#N/A,71545631,2017
manufacture of ceramic,23481190,2016
production of pulp or other fibrous materials ,55115012,2016
Aviation,57695040,2016
Capture of greenhouse gases ,14128,2016
Combustion installations ,21920032,2016
Combustion of fuels,310683932,2016
manufacture of glass,26917394,2016
Manufacture of mineral wool,2653334,2016
Metal ore roasting or sintering,1619932,2016
Mineral oil refineries,13173308,2016
Other activity,3385522,2016
Prodcution of aluminium,16656402,2016
Production of adipic acid,2061028,2016
Production of ammonia,27833490,2016
Production of bulk chemicals,70316866,2016
Production of carbon black,2990892,2016
production of cement clinker ,214006276,2016
Production of coke,19064802,2016
Production of glyoxal and glyoxylic acid,16054,2016
Production of gypsum or plasterboard,1860290,2016
Production of hydrogen and synthesis gas,15347494,2016
Production of metals,32425394,2016
Production of nitric acid,8882206,2016
production of pig iron or steel ,256817444,2016
Production of quicklime,48313264,2016
Production of sodium carbonates,8190948,2016
Refining of mineral oil,161435870,2016
#N/A,150841094,2016
manufacture of ceramic,11976979,2015
production of pulp or other fibrous materials ,28793202,2015
Aviation,29012196,2015
Capture of greenhouse gases ,8071,2015
Combustion installations ,12048478,2015
Combustion of fuels,167786992,2015
manufacture of glass,13822390,2015
Manufacture of mineral wool,1351871,2015
Metal ore roasting or sintering,826689,2015
Mineral oil refineries,6711371,2015
Other activity,1749210,2015
Prodcution of aluminium,8485044,2015
Production of adipic acid,1049829,2015
Production of ammonia,14164584,2015
Production of bulk chemicals,35744985,2015
Production of carbon black,1529273,2015
production of cement clinker ,106695533,2015
Production of coke,9855464,2015
Production of glyoxal and glyoxylic acid,8178,2015
Production of gypsum or plasterboard,949337,2015
Production of hydrogen and synthesis gas,7646973,2015
Production of metals,16562261,2015
Production of nitric acid,4473453,2015
production of pig iron or steel ,133266919,2015
Production of quicklime,24512111,2015
Production of sodium carbonates,4172697,2015
Refining of mineral oil,82951716,2015
#N/A,79783155,2015
manufacture of ceramic,12385616,2014
production of pulp or other fibrous materials ,30001386,2014
Aviation,29265468,2014
Capture of greenhouse gases ,9110,2014
Combustion installations ,13248981,2014
Combustion of fuels,184253685,2014
manufacture of glass,14260387,2014
Manufacture of mineral wool,1387953,2014
Metal ore roasting or sintering,843316,2014
Mineral oil refineries,6834859,2014
Other activity,1847143,2014
Prodcution of aluminium,8828195,2014
Production of adipic acid,1068946,2014
Production of ammonia,14839502,2014
Production of bulk chemicals,38514216,2014
Production of carbon black,1563032,2014
production of cement clinker ,107934996,2014
Production of coke,10089787,2014
Production of glyoxal and glyoxylic acid,8326,2014
Production of gypsum or plasterboard,963671,2014
Production of hydrogen and synthesis gas,8041299,2014
Production of metals,17111186,2014
Production of nitric acid,4564913,2014
production of pig iron or steel ,138014580,2014
Production of quicklime,25420938,2014
Production of sodium carbonates,4868167,2014
Refining of mineral oil,86900395,2014
