MAIN_ACT,amount,YEAR
root,,
2021,,root
2020,,root
2019,,root
2018,,root
2017,,root
2016,,root
2015,,root
2014,,root
2013,,root
2012,,root
2011,,root
2010,,root
2009,,root
2008,,root
manufacture of ceramic,11151546,2021
 production of pulp or other fibrous materials ,20935021,2021
Aviation,21574998,2021
Capture of greenhouse gases ,46,2021
Combustion installations ,22178558,2021
Combustion of fuels,561594515,2021
manufacture of glass,13263946,2021
Manufacture of mineral wool,1425661,2021
Metal ore roasting or sintering,758479,2021
Mineral oil refineries,8282207,2021
Other activity,1401174,2021
Prodcution of aluminium,8866889,2021
Production of adipic acid,117593,2021
Production of ammonia,12967412,2021
Production of bulk chemicals,26817450,2021
Production of carbon black,1513070,2021
production of cement clinker ,78685337,2021
Production of coke,4238832,2021
Production of glyoxal and glyoxylic acid,0,2021
Production of gypsum or plasterboard,888547,2021
Production of hydrogen and synthesis gas,6620225,2021
Production of metals,14282532,2021
Production of nitric acid,1355438,2021
production of pig iron or steel ,86604583,2021
Production of quicklime,23614523,2021
Production of sodium carbonates,2152152,2021
Refining of mineral oil,87771357,2021
#N/A,243390567,2021
 manufacture of ceramic,12181900,2020
 production of pulp or other fibrous materials ,23212448,2020
Aviation,20204185,2020
Capture of greenhouse gases ,5578,2020
Combustion installations ,44145017,2020
Combustion of fuels,596443538,2020
manufacture of glass,15684004,2020
Manufacture of mineral wool,1721610,2020
Metal ore roasting or sintering,768596,2020
Mineral oil refineries,8250488,2020
Other activity,1581055,2020
Prodcution of aluminium,9306377,2020
Production of adipic acid,110945,2020
Production of ammonia,16264369,2020
Production of bulk chemicals,29382116,2020
Production of carbon black,1441395,2020
production of cement clinker ,94242502,2020
Production of coke,9031135,2020
Production of glyoxal and glyoxylic acid,11818,2020
Production of gypsum or plasterboard,1066389,2020
Production of hydrogen and synthesis gas,8408903,2020
Production of metals,14463141,2020
Production of nitric acid,3436591,2020
production of pig iron or steel ,86085354,2020
Production of quicklime,23343818,2020
Production of sodium carbonates,3693833,2020
Refining of mineral oil,98149617,2020
#N/A,257877274,2020
 manufacture of ceramic,13301663,2019
 production of pulp or other fibrous materials ,24573868,2019
Aviation,52191987,2019
Capture of greenhouse gases ,10123,2019
Combustion installations ,52476375,2019
Combustion of fuels,702333972,2019
manufacture of glass,16607110,2019
Manufacture of mineral wool,1731977,2019
Metal ore roasting or sintering,792917,2019
Mineral oil refineries,9089580,2019
Other activity,1703184,2019
Prodcution of aluminium,9708411,2019
Production of adipic acid,113963,2019
Production of ammonia,15962334,2019
Production of bulk chemicals,29615043,2019
Production of carbon black,1615221,2019
production of cement clinker ,99715575,2019
Production of coke,9483237,2019
Production of glyoxal and glyoxylic acid,10099,2019
Production of gypsum or plasterboard,1110936,2019
Production of hydrogen and synthesis gas,8891782,2019
Production of metals,16921397,2019
Production of nitric acid,3475782,2019
production of pig iron or steel ,97421664,2019
Production of quicklime,25664917,2019
Production of sodium carbonates,4274421,2019
Refining of mineral oil,106948952,2019
#N/A,292786292,2019
 manufacture of ceramic,13513613,2018
 production of pulp or other fibrous materials ,25000746,2018
Aviation,54863453,2018
Capture of greenhouse gases ,11220,2018
Combustion installations ,52513299,2018
Combustion of fuels,819629497,2018
manufacture of glass,16812772,2018
Manufacture of mineral wool,1823612,2018
Metal ore roasting or sintering,780612,2018
Mineral oil refineries,8785754,2018
Other activity,1867979,2018
Prodcution of aluminium,10085042,2018
Production of adipic acid,111673,2018
Production of ammonia,15886251,2018
Production of bulk chemicals,31696199,2018
Production of carbon black,1688557,2018
production of cement clinker ,100676105,2018
Production of coke,10485212,2018
Production of glyoxal and glyoxylic acid,10833,2018
Production of gypsum or plasterboard,1064470,2018
Production of hydrogen and synthesis gas,8055566,2018
Production of metals,18002915,2018
Production of nitric acid,3728280,2018
production of pig iron or steel ,98668626,2018
Production of quicklime,27180648,2018
Production of sodium carbonates,3067952,2018
Refining of mineral oil,108390282,2018
#N/A,316249774,2018
 manufacture of ceramic,13246708,2017
 production of pulp or other fibrous materials ,25051247,2017
Aviation,56505939,2017
Capture of greenhouse gases ,13550,2017
Combustion installations ,53466319,2017
Combustion of fuels,876330310,2017
manufacture of glass,16668680,2017
Manufacture of mineral wool,1717226,2017
Metal ore roasting or sintering,825869,2017
Mineral oil refineries,8642321,2017
Other activity,1831344,2017
Prodcution of aluminium,9991136,2017
Production of adipic acid,131752,2017
Production of ammonia,17008365,2017
Production of bulk chemicals,31522347,2017
Production of carbon black,1643712,2017
production of cement clinker ,99570279,2017
Production of coke,10446923,2017
Production of glyoxal and glyoxylic acid,9940,2017
Production of gypsum or plasterboard,1050086,2017
Production of hydrogen and synthesis gas,8282259,2017
Production of metals,17912518,2017
Production of nitric acid,4203688,2017
production of pig iron or steel ,101037767,2017
Production of quicklime,27004469,2017
Production of sodium carbonates,3129793,2017
Refining of mineral oil,110689766,2017
#N/A,321236480,2017
 manufacture of ceramic,25377860,2016
 production of pulp or other fibrous materials ,49480874,2016
Aviation,109753156,2016
Capture of greenhouse gases ,31420,2016
Combustion installations ,107400232,2016
Combustion of fuels,1764916668,2016
manufacture of glass,33604804,2016
Manufacture of mineral wool,3213286,2016
Metal ore roasting or sintering,1574032,2016
Mineral oil refineries,17866552,2016
Other activity,3655406,2016
Prodcution of aluminium,19851554,2016
Production of adipic acid,252578,2016
Production of ammonia,33402434,2016
Production of bulk chemicals,62164032,2016
Production of carbon black,3518736,2016
production of cement clinker ,195083884,2016
Production of coke,21226550,2016
Production of glyoxal and glyoxylic acid,22224,2016
Production of gypsum or plasterboard,2033130,2016
Production of hydrogen and synthesis gas,15885088,2016
Production of metals,34676006,2016
Production of nitric acid,8423614,2016
production of pig iron or steel ,198066440,2016
Production of quicklime,51802884,2016
Production of sodium carbonates,6257948,2016
Refining of mineral oil,221677774,2016
#N/A,632936502,2016
 manufacture of ceramic,12234975,2015
 production of pulp or other fibrous materials ,24836103,2015
Aviation,51239917,2015
Capture of greenhouse gases ,14491,2015
Combustion installations ,44478684,2015
Combustion of fuels,924763023,2015
manufacture of glass,16572831,2015
Manufacture of mineral wool,1562967,2015
Metal ore roasting or sintering,749158,2015
Mineral oil refineries,8734951,2015
Other activity,1778585,2015
Prodcution of aluminium,9702069,2015
Production of adipic acid,135601,2015
Production of ammonia,16999907,2015
Production of bulk chemicals,31409286,2015
Production of carbon black,1673898,2015
production of cement clinker ,97733252,2015
Production of coke,11020333,2015
Production of glyoxal and glyoxylic acid,9070,2015
Production of gypsum or plasterboard,962871,2015
Production of hydrogen and synthesis gas,8029302,2015
Production of metals,16547740,2015
Production of nitric acid,4298002,2015
production of pig iron or steel ,105555588,2015
Production of quicklime,26387693,2015
Production of sodium carbonates,3152299,2015
Refining of mineral oil,111843290,2015
#N/A,327661341,2015
 manufacture of ceramic,12005062,2014
 production of pulp or other fibrous materials ,24649688,2014
Aviation,49183029,2014
Capture of greenhouse gases ,15168,2014
Combustion installations ,45949152,2014
Combustion of fuels,934934176,2014
manufacture of glass,16493348,2014
Manufacture of mineral wool,1569950,2014
Metal ore roasting or sintering,787268,2014
Mineral oil refineries,8908801,2014
Other activity,2694653,2014
Prodcution of aluminium,9585531,2014
Production of adipic acid,143924,2014
Production of ammonia,16608953,2014
Production of bulk chemicals,31113483,2014
Production of carbon black,1625279,2014
production of cement clinker ,98241991,2014
Production of coke,10711413,2014
Production of glyoxal and glyoxylic acid,11751,2014
Production of gypsum or plasterboard,952271,2014
Production of hydrogen and synthesis gas,8293359,2014
Production of metals,16705604,2014
Production of nitric acid,4164304,2014
production of pig iron or steel ,106606236,2014
Production of quicklime,27020904,2014
Production of sodium carbonates,3237931,2014
